Rank,Country/Region,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2000,1990,1980,1967
-,World,1951.9,1877.5,1874.4,1808.4,1674.8,1606.3,1620.4,1670.1,1649.3,1552.9,1490.1,1413.6,1219.7,1326.5,1351.3,850.1,770.4,716.4,497.2
1,China,1032.8,1064.8,995.4,920,831.7,786.9,803.8,822.7,779,724.7,683.3,626.7,573.6,500.3,494.9,128.5,66.4,37.1,14
-,European Union,152.5,139.2,159.4,168.2,168.7,162.3,166.2,169.3,166.4,168.6,177.7,172.8,139.3,198.2,210.2,193.5,191.8,208,
2,India,118.2,100.3,111.4,109.3,101.5,95.5,89.6,87.3,81.2,77.3,72.2,68.3,62.8,57.8,53.5,26.9,15,9.5,6.3
3,Japan,96.3,83.2,99.3,104.3,104.7,104.8,105.2,110.7,110.6,107.2,107.6,109.6,87.5,118.7,120.2,106.4,110.3,111.4,62
4,United States,85.8,72.7,87.8,86.6,81.6,78.5,78.9,88.2,87,88.6,86.2,80.6,58.2,91.4,98.1,101.8,89.7,101.4,115
5,Russia,75.6,71.6,71.7,72,71.3,70.5,71.1,71.5,69.4,70.6,68.7,66.9,60,68.5,72.4,59.1,N/A,N/A,N/A
6,South Korea,70.4,67.1,71.4,72.5,71.1,68.6,69.7,71.5,66,69.3,68.5,58.5,48.6,53.6,51.5,43.1,23.1,8.5,0.3
7,Turkey,40.4,35.8,33.7,37.3,37.5,33.2,31.5,34,34.7,35.9,34.1,29,25.3,26.8,25.8,14.3,9.4,2.5,1
8,Germany,40.1,35.7,39.6,42.4,43.6,42.1,42.7,42.9,42.6,42.7,44.3,43.8,32.7,45.8,48.6,46.4,44,51.1,41.3
9,Brazil,36.2,31,32.6,35.4,34.4,30.2,33.3,33.9,34.2,34.7,35.2,32.8,26.5,33.7,33.8,27.9,20.6,15.3,3.6
10,Iran,28.5,29,25.6,24.5,21.8,17.9,16.1,16.3,15.4,14.5,13,12,10.9,10,10.1,6.6,1.4,0.5,-
11,Italy,24.4,20.4,23.2,24.5,24,23.3,22,23.7,24.1,27.2,28.7,25.8,19.7,30.6,31.6,26.8,25.5,26.5,15.9
12,Taiwan,23.2,21,22,23.2,23.2,21.8,21.4,23.1,22.3,20.7,20.2,19.8,15.8,19.9,20.9,,,,
13,Vietnam,23,19.5,17.5,15.5,10.3,7.8,5.7,5.9,5.6,5.3,4.9,2.7,2.7,2.7,2.3,0.3,0.1,0.1,-
14,Ukraine,21.4,20.6,20.8,21.1,22.7,24.2,22.9,27.2,32.8,32.9,35.3,33.6,29.9,37.3,42.8,31.8,54.6,52.3,N/A
15,Mexico,18.5,16.8,18.4,20.2,20,19,18.3,19,18.2,18.1,18.1,17,14.2,17.2,17.6,15.6,8.7,7.1,3
16,Indonesia,14.3,9.3,7.8,6.2,5.2,4.8,4.9,4.4,2.6,2.3,3.6,3.6,3.5,3.9,4.1,2.9,2.8,0.5,-
17,Spain,14.2,11,13.6,14.3,14.5,13.6,14.9,14.3,13.7,13.6,15.6,16.3,14.3,18.6,19,15.8,12.9,12.8,4.5
18,France,13.9,11.6,14.4,15.4,15.5,14.6,15,16.1,15.7,15.6,15.8,15.4,12.8,17.9,19.3,21,19,23.1,19.6
19,Canada,13,11,12.9,13.4,13.7,12.7,12.5,12.7,12.4,13.5,13.1,13,9,14.8,15.6,16.6,12.3,15.9,8.8
20,Egypt,10.3,8.2,7.3,7.8,6.8,5,5.5,6.5,6.8,6.6,6.5,6.7,5.5,6.2,6.2,2.8,2.2,1,0.4
